城市,日期,质量等级,AQI,AQI排名,PM2.5,PM10,So2,No2,Co,O3
兰州,2014-8-26,良,69,97,45,82,26,42,1,58
兰州,2014-8-27,良,91,168,49,129,24,33,1,52
兰州,2014-8-28,良,60,84,31,70,12,18,1,49
兰州,2014-8-29,良,57,85,34,63,8,16,1,43
兰州,2014-8-30,良,52,63,32,53,7,15,1,48
兰州,2014-8-31,良,73,147,43,93,19,28,1,32
兰州,2014-9-1,良,62,127,36,76,9,23,1,39
兰州,2014-9-2,良,66,151,36,80,13,26,1,41
兰州,2014-9-3,良,88,186,46,120,20,33,1,51
兰州,2014-9-4,良,86,161,48,119,18,28,1,49
兰州,2014-9-5,良,69,72,38,86,13,21,1,42
兰州,2014-9-6,良,62,43,42,67,12,19,1,36
兰州,2014-9-7,良,64,72,43,70,18,26,1,44
兰州,2014-9-8,轻度污染,105,159,76,126,17,34,1,21
兰州,2014-9-9,轻度污染,123,185,90,126,14,33,1,35
兰州,2014-9-10,良,62,79,34,75,13,28,1,26
兰州,2014-9-11,优,44,34,30,40,11,19,1,31
兰州,2014-9-12,良,74,166,50,90,23,39,2,24
兰州,2014-9-13,轻度污染,121,187,77,186,15,25,1,27
兰州,2014-9-14,良,55,119,37,61,9,17,1,36
兰州,2014-9-15,优,49,100,29,49,11,22,1,41
兰州,2014-9-16,优,41,57,23,39,9,23,1,37
兰州,2014-9-17,良,61,144,36,71,12,37,1,45
兰州,2014-9-18,良,82,160,54,108,20,43,1,44
兰州,2014-9-19,良,82,140,47,107,23,49,1,45
兰州,2014-9-20,良,75,134,34,98,20,42,1,39
兰州,2014-9-21,良,51,61,27,54,13,27,1,27
兰州,2014-9-22,优,42,27,25,40,8,23,1,41
兰州,2014-9-23,良,62,110,43,66,12,42,1,42
兰州,2014-9-24,良,89,159,58,119,21,49,2,54
兰州,2014-9-25,良,68,74,35,85,13,36,1,47
兰州,2014-9-26,良,77,82,47,100,22,38,1,37
兰州,2014-9-27,良,94,119,62,126,23,39,1,33
兰州,2014-9-28,良,75,120,50,83,13,31,1,49
兰州,2014-9-29,良,90,175,56,128,21,37,1,44
兰州,2014-9-30,良,64,139,33,76,14,19,1,39
兰州,2014-10-1,良,65,109,36,78,10,17,1,40
兰州,2014-10-2,良,99,163,59,144,16,28,1,44
兰州,2014-10-3,良,92,145,51,132,17,22,1,51
兰州,2014-10-4,良,60,84,29,73,11,16,1,50
兰州,2014-10-5,良,77,128,43,101,25,33,1,40
兰州,2014-10-6,良,72,85,39,91,21,27,1,43
兰州,2014-10-7,良,75,56,49,93,24,34,1,37
兰州,2014-10-8,良,85,81,59,101,24,31,1,41
兰州,2014-10-9,良,57,24,33,64,10,22,1,41
兰州,2014-10-10,良,76,79,45,91,15,20,1,41
兰州,2014-10-11,优,29,2,12,22,9,13,1,53
兰州,2014-10-12,优,41,29,28,39,13,25,1,41
兰州,2014-10-13,良,71,136,50,80,17,35,1,43
兰州,2014-10-14,轻度污染,107,145,79,134,25,44,2,42
兰州,2014-10-15,良,92,55,59,127,22,40,1,28
兰州,2014-10-16,良,81,71,55,98,17,36,1,22
兰州,2014-10-17,轻度污染,134,152,100,136,20,53,2,28
兰州,2014-10-18,轻度污染,124,122,93,132,24,46,1,37
兰州,2014-10-19,良,76,88,47,98,24,41,1,42
兰州,2014-10-20,良,74,67,49,97,19,38,1,33
兰州,2014-10-21,良,64,40,40,73,16,48,1,41
兰州,2014-10-22,良,89,101,59,120,23,48,1,38
兰州,2014-10-23,良,98,100,71,132,30,52,2,31
兰州,2014-10-24,良,98,93,70,126,33,60,2,34
兰州,2014-10-25,良,81,61,55,105,30,48,2,27
兰州,2014-10-26,良,86,68,63,103,26,46,2,36
兰州,2014-10-27,良,68,52,46,78,17,35,1,34
兰州,2014-10-28,优,41,9,21,45,11,34,1,35
兰州,2014-10-29,良,70,100,46,85,18,36,1,37
兰州,2014-10-30,优,43,29,25,41,13,32,1,35
兰州,2014-10-31,优,39,14,22,37,11,31,1,41
兰州,2014-11-1,优,46,30,26,46,11,34,1,52
兰州,2014-11-2,良,86,170,58,115,22,66,2,30
兰州,2014-11-3,轻度污染,129,189,96,166,33,95,2,41
兰州,2014-11-4,轻度污染,106,151,79,129,31,83,2,13
兰州,2014-11-5,轻度污染,111,127,83,135,36,83,3,21
兰州,2014-11-6,轻度污染,122,139,91,150,32,76,3,7
兰州,2014-11-7,轻度污染,101,163,75,122,33,67,2,21
兰州,2014-11-8,轻度污染,104,155,77,119,27,68,2,10
兰州,2014-11-9,良,65,81,44,70,20,45,1,16
兰州,2014-11-10,良,79,69,41,106,16,28,1,43
兰州,2014-11-11,良,81,80,44,110,15,42,1,35
兰州,2014-11-12,良,67,92,31,82,20,32,1,36
兰州,2014-11-13,轻度污染,118,183,84,159,34,65,2,18
兰州,2014-11-14,良,98,124,71,140,30,42,2,18
兰州,2014-11-15,良,81,70,40,109,20,25,1,35
兰州,2014-11-16,轻度污染,108,105,73,161,29,46,2,20
兰州,2014-11-17,轻度污染,119,124,87,170,36,53,3,18
兰州,2014-11-18,轻度污染,122,129,91,167,39,48,3,18
兰州,2014-11-19,轻度污染,117,112,86,156,37,60,2,21
兰州,2014-11-20,轻度污染,111,89,75,155,29,54,2,18
兰州,2014-11-21,轻度污染,106,80,79,132,39,66,2,17
兰州,2014-11-22,良,97,63,72,115,37,45,2,28
兰州,2014-11-23,良,78,68,54,99,30,48,2,32
兰州,2014-11-24,良,97,130,72,100,21,46,2,22
兰州,2014-11-25,中度污染,168,172,127,172,29,68,3,10
兰州,2014-11-26,良,94,119,65,110,22,34,2,29
兰州,2014-11-27,优,43,12,23,41,11,28,1,40
兰州,2014-11-28,轻度污染,101,150,75,118,18,57,2,16
兰州,2014-11-29,良,83,100,59,91,19,40,2,29
兰州,2014-11-30,良,56,67,21,60,12,25,1,52
兰州,2014-12-1,轻度污染,113,180,79,156,34,66,3,19
兰州,2014-12-2,轻度污染,111,180,82,164,29,57,3,12
兰州,2014-12-3,良,70,92,30,88,24,34,1,46
兰州,2014-12-4,轻度污染,105,168,69,143,42,63,3,32
兰州,2014-12-5,中度污染,158,186,120,204,47,78,4,27
兰州,2014-12-6,良,92,107,63,104,23,43,2,27
兰州,2014-12-7,轻度污染,113,132,71,165,38,58,3,15
兰州,2014-12-8,轻度污染,123,136,92,145,31,63,3,15
兰州,2014-12-9,良,67,45,33,82,15,25,1,32
兰州,2014-12-10,轻度污染,106,126,54,159,24,44,1,22
兰州,2014-12-11,良,95,124,36,139,14,23,1,51
兰州,2014-12-12,良,95,133,54,136,20,49,2,19
兰州,2014-12-13,轻度污染,125,173,91,181,36,68,2,12
兰州,2014-12-14,轻度污染,138,146,84,197,38,56,2,25
兰州,2014-12-15,轻度污染,104,72,40,143,16,27,1,53
兰州,2014-12-16,良,97,157,65,120,38,68,2,14
兰州,2014-12-17,轻度污染,149,183,113,159,53,69,3,16
兰州,2014-12-18,中度污染,185,179,139,212,63,82,3,28
兰州,2014-12-19,轻度污染,112,129,84,134,41,54,2,20
兰州,2014-12-20,良,77,98,49,95,34,35,1,31
兰州,2014-12-21,良,66,54,42,75,33,40,2,27
兰州,2014-12-22,轻度污染,138,175,103,155,52,59,3,16
兰州,2014-12-23,轻度污染,148,150,112,163,61,60,3,18
兰州,2014-12-24,轻度污染,106,76,79,118,43,52,2,22
兰州,2014-12-25,轻度污染,118,123,88,136,48,60,2,20
兰州,2014-12-26,中度污染,153,148,115,165,47,56,3,18
兰州,2014-12-27,中度污染,175,151,133,189,47,62,3,17
兰州,2014-12-28,重度污染,203,149,156,222,51,71,3,20
兰州,2014-12-29,轻度污染,149,118,112,173,50,66,3,23
兰州,2014-12-30,轻度污染,111,94,81,136,53,50,2,23
兰州,2014-12-31,良,69,184,34,85,35,37,2,16
兰州,2015-1-1,轻度污染,134,325,100,164,69,57,3,20
兰州,2015-1-2,中度污染,154,596,117,179,67,59,3,21
兰州,2015-1-3,中度污染,187,317,142,212,71,74,4,18
兰州,2015-1-4,良,92,71,56,111,30,37,1,37
兰州,2015-1-5,优,48,25,17,52,25,31,1,39
兰州,2015-1-6,良,59,123,34,66,33,41,2,23
兰州,2015-1-7,良,67,126,46,79,28,40,2,19
兰州,2015-1-8,良,91,171,64,115,44,55,3,18
兰州,2015-1-9,轻度污染,117,202,88,138,50,69,3,17
兰州,2015-1-10,轻度污染,109,175,81,133,57,69,4,20
兰州,2015-1-11,轻度污染,118,211,87,149,68,73,4,19
兰州,2015-1-12,轻度污染,127,270,95,161,63,80,4,20
兰州,2015-1-13,良,94,200,69,108,34,46,3,25
兰州,2015-1-14,良,96,187,70,111,31,50,2,23
兰州,2015-1-15,良,64,84,31,75,22,33,1,49
兰州,2015-1-16,良,99,168,68,132,47,73,3,28
兰州,2015-1-17,良,88,152,57,114,29,48,2,41
兰州,2015-1-18,良,80,104,50,101,33,62,3,37
兰州,2015-1-19,良,91,168,63,118,43,67,3,32
兰州,2015-1-20,良,91,151,64,120,44,57,3,38
兰州,2015-1-21,良,90,143,53,124,75,86,4,35
兰州,2015-1-22,轻度污染,110,206,79,146,60,84,4,26
兰州,2015-1-23,轻度污染,118,167,88,152,53,75,3,29
兰州,2015-1-24,良,87,92,45,120,28,39,2,50
兰州,2015-1-25,轻度污染,101,128,73,137,46,63,3,32
兰州,2015-1-26,良,78,84,33,103,23,25,2,58
兰州,2015-1-27,良,62,117,31,72,27,33,2,46
兰州,2015-1-28,良,70,253,38,87,22,26,2,43
